domain,variable,n,mean,ci_lower,ci_upper
bbc.co.uk,BizarrenessEffect_per_100,32,0.21164286308665028,0.13451555571452795,0.2892260854269082
kyivpost.com,BizarrenessEffect_per_100,58,0.13205202365760765,0.07037987935939062,0.20989439086025322
sputnikglobe.com,BizarrenessEffect_per_100,53,0.35084409219286805,0.23545331708221298,0.47879892679003766
bbc.co.uk,ContrastEffect_per_100,32,0.7344679038402842,0.5706550272560436,0.909618744052671
kyivpost.com,ContrastEffect_per_100,58,0.5222112294380202,0.40044555683535826,0.6536537217583714
sputnikglobe.com,ContrastEffect_per_100,53,0.8322189050432903,0.6947327793100603,0.9806694345303487
bbc.co.uk,DistinctionBias_per_100,32,0.09002854871325774,0.03375736588382178,0.15480586450143224
kyivpost.com,DistinctionBias_per_100,58,0.09638633782450957,0.05241696839256456,0.14795002481560643
sputnikglobe.com,DistinctionBias_per_100,53,0.17594208233052103,0.1082045131108288,0.25195024076954353
bbc.co.uk,NegativityBias_per_100,32,1.6896670000784928,1.4421978607181132,1.9544086050410987
kyivpost.com,NegativityBias_per_100,58,1.4694929428663266,1.2692044892898815,1.6661329864496526
sputnikglobe.com,NegativityBias_per_100,53,1.8784465495657665,1.6121832354826535,2.1645397712357113
bbc.co.uk,OmissionBias_per_100,32,0.0781329785309057,0.041101674976976574,0.11974722376381522
kyivpost.com,OmissionBias_per_100,58,0.1161898021835369,0.05933215878390128,0.17973134798733248
sputnikglobe.com,OmissionBias_per_100,53,0.5125672559200952,0.3758385850256049,0.6605332684371256
bbc.co.uk,VonRestorffEffect_per_100,32,1.1886748168106025,0.9958277111430172,1.3957743563364917
kyivpost.com,VonRestorffEffect_per_100,58,1.021085076035284,0.8894456109930068,1.1616091375654043
sputnikglobe.com,VonRestorffEffect_per_100,53,1.205557517136628,1.0466163334646668,1.3663089366678023
