domain,variable,n,mean,ci_lower,ci_upper
bbc.co.uk,quotes_per_argument,32,1.2385726579671599,1.1771775063982228,1.300931743125313
bbc.co.uk,quote_type__DirectQuote_per_argument,32,0.3264306905962282,0.257684490999926,0.4001373188374272
bbc.co.uk,quote_type__IndirectQuote_per_argument,32,0.39647047631392607,0.33099310913710095,0.4646554626818506
bbc.co.uk,quote_type__ParaphrasedQuote_per_argument,32,0.5156714910570055,0.40662300854987676,0.6342572594446363
bbc.co.uk,quote_status__CallToAction_per_argument,32,0.044066772003417326,0.02265516554324298,0.07421921568197751
bbc.co.uk,quote_status__Contradiction_per_argument,32,0.02378053092423086,0.011761782811308154,0.038130856395404256
bbc.co.uk,quote_status__HypotheticalStatement_per_argument,32,0.012428519061583576,0.002258064516129031,0.02784090909090909
bbc.co.uk,quote_status__InterpretiveStatement_per_argument,32,0.3544130820111356,0.2494065798604931,0.46387456493882506
bbc.co.uk,quote_status__OfficialPosition_per_argument,32,0.314367126055205,0.24084805373388335,0.394837086281398
bbc.co.uk,quote_status__PersonalOpinion_per_argument,32,0.19260052501044983,0.12373692019616511,0.2756892884136978
bbc.co.uk,quote_status__ReportedStatement_per_argument,32,0.29691610290113757,0.22516802540761388,0.3736466247201123
bbc.co.uk,unique_agents_per_argument,32,0.8438787204536846,0.7352574002509956,0.9556226347339118
bbc.co.uk,unique_agent_types_per_argument,32,0.32866543124869085,0.2803462589141067,0.38072310612057386
bbc.co.uk,mentions_per_argument,32,1.3833331642025133,1.2065786542052492,1.5570131517958277
bbc.co.uk,mentions_per_quote,32,1.1168392730078511,0.983186681814656,1.2448714523833295
bbc.co.uk,mentions_agent_type__NarratedAcademic_per_argument,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedAcademic_per_quote,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedActivist_per_argument,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedActivist_per_quote,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedAgentUndecided_per_argument,32,0.10103610304770635,0.06335774221075252,0.14186199850361558
bbc.co.uk,mentions_agent_type__NarratedAgentUndecided_per_quote,32,0.08287349803791913,0.05134802782880497,0.1183288484522163
bbc.co.uk,mentions_agent_type__NarratedBusinessLeader_per_argument,32,0.00125,0.0,0.00375
bbc.co.uk,mentions_agent_type__NarratedBusinessLeader_per_quote,32,0.0013586956521739126,0.0,0.004076086956521738
bbc.co.uk,mentions_agent_type__NarratedCorporation_per_argument,32,0.00375,0.0,0.01125
bbc.co.uk,mentions_agent_type__NarratedCorporation_per_quote,32,0.004076086956521737,0.0,0.012228260869565213
bbc.co.uk,mentions_agent_type__NarratedCriminal_per_argument,32,0.0074404761904761875,0.0,0.02232142857142856
bbc.co.uk,mentions_agent_type__NarratedCriminal_per_quote,32,0.006510416666666665,0.0,0.019531249999999997
bbc.co.uk,mentions_agent_type__NarratedCriminalOrganization_per_argument,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedCriminalOrganization_per_quote,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedGeneralPublic_per_argument,32,0.019943424630924626,0.004166666666666666,0.040514854069541556
bbc.co.uk,mentions_agent_type__NarratedGeneralPublic_per_quote,32,0.016520294540229883,0.003125,0.03361366289511493
bbc.co.uk,mentions_agent_type__NarratedGeneralWorker_per_argument,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedGeneralWorker_per_quote,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedGovernment_per_argument,32,0.07272186632809974,0.03600797318941062,0.11546305516033518
bbc.co.uk,mentions_agent_type__NarratedGovernment_per_quote,32,0.0633056993643201,0.03052427096354002,0.10240720502591087
bbc.co.uk,mentions_agent_type__NarratedInstitution_per_argument,32,0.011422171578421573,0.0013020833333333313,0.028753798285048274
bbc.co.uk,mentions_agent_type__NarratedInstitution_per_quote,32,0.01008416262778748,0.0010080645161290311,0.025856689310874502
bbc.co.uk,mentions_agent_type__NarratedInternationalOrganization_per_argument,32,0.004464285714285712,0.0,0.013392857142857137
bbc.co.uk,mentions_agent_type__NarratedInternationalOrganization_per_quote,32,0.00390625,0.0,0.01171875
bbc.co.uk,mentions_agent_type__NarratedJournalist_per_argument,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedJournalist_per_quote,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedMediaOrganization_per_argument,32,0.006966294813119753,0.0,0.015578518306636133
bbc.co.uk,mentions_agent_type__NarratedMediaOrganization_per_quote,32,0.005358297413793103,0.0,0.011966594827586207
bbc.co.uk,mentions_agent_type__NarratedMilitary_per_argument,32,0.05618020677400515,0.013759929753151259,0.11397868677455798
bbc.co.uk,mentions_agent_type__NarratedMilitary_per_quote,32,0.04829206478121481,0.013158951788299065,0.09432049598542726
bbc.co.uk,mentions_agent_type__NarratedMilitaryFigure_per_argument,32,0.006459162612413384,0.0,0.014563062066932031
bbc.co.uk,mentions_agent_type__NarratedMilitaryFigure_per_quote,32,0.0058072916666666655,0.0,0.012968749999999998
bbc.co.uk,mentions_agent_type__NarratedNGO_per_argument,32,0.0,0.0,0.0
bbc.co.uk,mentions_agent_type__NarratedNGO_per_quote,32,0.0,0.0,0.0
