metric,mean,median,std,min,max,count
attributions_agent_type__NarratedAcademic,0.5524475524475524,0.0,1.6084211560370714,0.0,10.0,143
attributions_agent_type__NarratedAcademic_per_100,0.17819494951354803,0.0,0.5183355340828373,0.0,3.0959752321981426,143
attributions_agent_type__NarratedAcademic_per_argument,0.06206897371995734,0.0,0.2085209362269224,0.0,1.6666666666666667,143
attributions_agent_type__NarratedAcademic_per_quote,0.03811939074971434,0.0,0.11235155887998532,0.0,0.6666666666666666,143
attributions_agent_type__NarratedActivist,0.006993006993006993,0.0,0.08362420100070908,0.0,1.0,143
attributions_agent_type__NarratedActivist_per_100,0.00207507625905252,0.0,0.02481430296756946,0.0,0.29673590504451036,143
attributions_agent_type__NarratedActivist_per_argument,0.000777000777000777,0.0,0.009291577888967674,0.0,0.1111111111111111,143
attributions_agent_type__NarratedActivist_per_quote,0.0006357279084551812,0.0,0.007602200090973552,0.0,0.09090909090909091,143
attributions_agent_type__NarratedAgentUndecided,0.3706293706293706,0.0,1.1301147995925245,0.0,9.0,143
attributions_agent_type__NarratedAgentUndecided_per_100,0.08773854210258145,0.0,0.2564422692131744,0.0,1.8442622950819672,143
attributions_agent_type__NarratedAgentUndecided_per_argument,0.02622807698399054,0.0,0.0774444362973332,0.0,0.5625,143
attributions_agent_type__NarratedAgentUndecided_per_quote,0.020508913188430802,0.0,0.06023625050426945,0.0,0.375,143
attributions_agent_type__NarratedBusinessLeader,0.1958041958041958,0.0,1.076370670608249,0.0,8.0,143
attributions_agent_type__NarratedBusinessLeader_per_100,0.04298978754604477,0.0,0.23974192382876633,0.0,1.971830985915493,143
attributions_agent_type__NarratedBusinessLeader_per_argument,0.013212212623977329,0.0,0.080483328134072,0.0,0.7777777777777778,143
attributions_agent_type__NarratedBusinessLeader_per_quote,0.010727062082560804,0.0,0.06275926975849591,0.0,0.5,143
attributions_agent_type__NarratedCorporation,0.0979020979020979,0.0,0.790031959726905,0.0,8.0,143
attributions_agent_type__NarratedCorporation_per_100,0.0356454931731899,0.0,0.29619497295008823,0.0,3.018867924528302,143
attributions_agent_type__NarratedCorporation_per_argument,0.009048527230345412,0.0,0.07371728534081311,0.0,0.7272727272727273,143
attributions_agent_type__NarratedCorporation_per_quote,0.00947940947940948,0.0,0.0787327693454385,0.0,0.8,143
attributions_agent_type__NarratedCriminal,0.0,0.0,0.0,0.0,0.0,143
attributions_agent_type__NarratedCriminalOrganization,0.006993006993006993,0.0,0.08362420100070908,0.0,1.0,143
attributions_agent_type__NarratedCriminalOrganization_per_100,0.0030806198207079263,0.0,0.03683885506639166,0.0,0.44052863436123346,143
attributions_agent_type__NarratedCriminalOrganization_per_argument,0.0011655011655011655,0.0,0.013937366833451512,0.0,0.16666666666666666,143
attributions_agent_type__NarratedCriminalOrganization_per_quote,0.0008741258741258741,0.0,0.010453025125088635,0.0,0.125,143
attributions_agent_type__NarratedCriminal_per_100,0.0,0.0,0.0,0.0,0.0,143
attributions_agent_type__NarratedCriminal_per_argument,0.0,0.0,0.0,0.0,0.0,143
attributions_agent_type__NarratedCriminal_per_quote,0.0,0.0,0.0,0.0,0.0,143
attributions_agent_type__NarratedGeneralPublic,0.04195804195804196,0.0,0.23359185164877316,0.0,2.0,143
attributions_agent_type__NarratedGeneralPublic_per_100,0.0094940245024691,0.0,0.05275835039798366,0.0,0.42643923240938164,143
attributions_agent_type__NarratedGeneralPublic_per_argument,0.0031593406593406594,0.0,0.017820248994860864,0.0,0.13333333333333333,143
attributions_agent_type__NarratedGeneralPublic_per_quote,0.0025535070989616444,0.0,0.013926606686114913,0.0,0.09090909090909091,143
attributions_agent_type__NarratedGeneralWorker,0.02097902097902098,0.0,0.2508726030021272,0.0,3.0,143
attributions_agent_type__NarratedGeneralWorker_per_100,0.003928655614048873,0.0,0.04697988820264555,0.0,0.5617977528089888,143
attributions_agent_type__NarratedGeneralWorker_per_argument,0.0012340600575894694,0.0,0.014757211941301604,0.0,0.17647058823529413,143
attributions_agent_type__NarratedGeneralWorker_per_quote,0.000999000999000999,0.0,0.011946314428672725,0.0,0.14285714285714285,143
attributions_agent_type__NarratedGovernment,0.7062937062937062,0.0,1.5374762924184693,0.0,9.0,143
attributions_agent_type__NarratedGovernment_per_100,0.18514521068105536,0.0,0.41992909588261956,0.0,3.0405405405405403,143
attributions_agent_type__NarratedGovernment_per_argument,0.056962828262700146,0.0,0.13914873873610906,0.0,1.125,143
attributions_agent_type__NarratedGovernment_per_quote,0.04330523109550849,0.0,0.09769654769467856,0.0,0.75,143
attributions_agent_type__NarratedInstitution,0.26573426573426573,0.0,0.7686740820275985,0.0,5.0,143
attributions_agent_type__NarratedInstitution_per_100,0.06949065513196181,0.0,0.19173961274861825,0.0,0.9433962264150944,143
attributions_agent_type__NarratedInstitution_per_argument,0.022852337491151363,0.0,0.06867992903479186,0.0,0.4,143
attributions_agent_type__NarratedInstitution_per_quote,0.019562233785454342,0.0,0.05842054606790943,0.0,0.3333333333333333,143
attributions_agent_type__NarratedInternationalOrganization,0.055944055944055944,0.0,0.3309445248653663,0.0,3.0,143
attributions_agent_type__NarratedInternationalOrganization_per_100,0.013211105140776298,0.0,0.08166019983383563,0.0,0.683371298405467,143
attributions_agent_type__NarratedInternationalOrganization_per_argument,0.004573857515033986,0.0,0.03025755293061423,0.0,0.25,143
attributions_agent_type__NarratedInternationalOrganization_per_quote,0.0035256410256410257,0.0,0.02202189218491173,0.0,0.2,143
attributions_agent_type__NarratedJournalist,0.055944055944055944,0.0,0.3895867036554554,0.0,4.0,143
attributions_agent_type__NarratedJournalist_per_100,0.022408632521507918,0.0,0.16535874583236765,0.0,1.7699115044247788,143
attributions_agent_type__NarratedJournalist_per_argument,0.005944055944055944,0.0,0.04568234174645306,0.0,0.5,143
attributions_agent_type__NarratedJournalist_per_quote,0.004164256795835743,0.0,0.03097636922671825,0.0,0.3333333333333333,143
attributions_agent_type__NarratedMediaOrganization,0.2097902097902098,0.0,0.7006349922019618,0.0,5.0,143
attributions_agent_type__NarratedMediaOrganization_per_100,0.05978771361107056,0.0,0.22261506736255773,0.0,2.127659574468085,143
attributions_agent_type__NarratedMediaOrganization_per_argument,0.018317706298935595,0.0,0.06893548977199879,0.0,0.6666666666666666,143
attributions_agent_type__NarratedMediaOrganization_per_quote,0.01405585940577803,0.0,0.04893890866109099,0.0,0.4,143
attributions_agent_type__NarratedMilitary,0.08391608391608392,0.0,0.41953199103292377,0.0,3.0,143
attributions_agent_type__NarratedMilitaryFigure,0.21678321678321677,0.0,0.8319319119947336,0.0,6.0,143
attributions_agent_type__NarratedMilitaryFigure_per_100,0.06743877862727003,0.0,0.257330476942945,0.0,1.7621145374449338,143
attributions_agent_type__NarratedMilitaryFigure_per_argument,0.02379766697948516,0.0,0.096585383416937,0.0,0.6666666666666666,143
attributions_agent_type__NarratedMilitaryFigure_per_quote,0.017269725224270678,0.0,0.06908043512683941,0.0,0.5,143
attributions_agent_type__NarratedMilitary_per_100,0.023878057437435984,0.0,0.12365865185231986,0.0,1.0676156583629892,143
attributions_agent_type__NarratedMilitary_per_argument,0.0073696883413482605,0.0,0.04141392741339787,0.0,0.4,143
attributions_agent_type__NarratedMilitary_per_quote,0.006769720491804859,0.0,0.0397912725909077,0.0,0.4,143
attributions_agent_type__NarratedNGO,0.027972027972027972,0.0,0.20363098162323995,0.0,2.0,143
attributions_agent_type__NarratedNGO_per_100,0.006135905211953541,0.0,0.04433246618549224,0.0,0.42643923240938164,143
attributions_agent_type__NarratedNGO_per_argument,0.001898101898101898,0.0,0.013740313861536381,0.0,0.13333333333333333,143
attributions_agent_type__NarratedNGO_per_quote,0.001655541428268701,0.0,0.011482755093163634,0.0,0.09090909090909091,143
attributions_agent_type__NarratedNarratedPerson,0.03496503496503497,0.0,0.4181210050035454,0.0,5.0,143
attributions_agent_type__NarratedNarratedPerson_per_100,0.006724045185583647,0.0,0.08040788557760488,0.0,0.9615384615384616,143
attributions_agent_type__NarratedNarratedPerson_per_argument,0.0024975024975024975,0.0,0.029865786071681815,0.0,0.35714285714285715,143
attributions_agent_type__NarratedNarratedPerson_per_quote,0.0015893197711379528,0.0,0.01900550022743388,0.0,0.22727272727272727,143
attributions_agent_type__NarratedOrganization,0.2517482517482518,0.0,0.8514158172849378,0.0,7.0,143
attributions_agent_type__NarratedOrganization_per_100,0.06257467377594961,0.0,0.22062361351067655,0.0,2.0114942528735633,143
attributions_agent_type__NarratedOrganization_per_argument,0.019227729069572177,0.0,0.07184860681029621,0.0,0.7,143
attributions_agent_type__NarratedOrganization_per_quote,0.01624454594409562,0.0,0.0610991170202366,0.0,0.5833333333333334,143
attributions_agent_type__NarratedPerson,0.7692307692307693,0.0,2.741677053573021,0.0,18.0,143
attributions_agent_type__NarratedPerson_per_100,0.20088869219194783,0.0,0.7424699647492394,0.0,5.46218487394958,143
attributions_agent_type__NarratedPerson_per_argument,0.07522363396623408,0.0,0.3901146348630653,0.0,4.333333333333333,143
attributions_agent_type__NarratedPerson_per_quote,0.04386434492314039,0.0,0.1490509936094899,0.0,1.0,143
