domain,variable,n,mean,ci_lower,ci_upper
bbc.co.uk,avg_conclusions_per_argument,32,0.40965939981452626,0.3439319486655816,0.4756554752877808
kyivpost.com,avg_conclusions_per_argument,58,0.390052488998256,0.3408031762473053,0.4393993660952466
sputnikglobe.com,avg_conclusions_per_argument,53,0.6688705301357911,0.6006862994186107,0.7322780948703534
bbc.co.uk,avg_developments_per_argument,32,0.5356834347291322,0.4900083100145787,0.5816421185755798
kyivpost.com,avg_developments_per_argument,58,0.5858204777115581,0.5228419958935498,0.6526119570585013
sputnikglobe.com,avg_developments_per_argument,53,0.7818801558535188,0.6971388796645456,0.8683031771225445
bbc.co.uk,avg_pdc_per_argument,32,2.3292398362591786,2.2337344446620286,2.4286243281433357
kyivpost.com,avg_pdc_per_argument,58,2.6817473340746534,2.5728885550120175,2.796406704676295
sputnikglobe.com,avg_pdc_per_argument,53,2.9715058680374997,2.8122276427943746,3.153143203063431
bbc.co.uk,avg_premises_per_argument,32,1.3838970017155199,1.314531840982582,1.4521084867692704
kyivpost.com,avg_premises_per_argument,58,1.705874367364839,1.6386143946008531,1.7782127321074888
sputnikglobe.com,avg_premises_per_argument,53,1.5207551820481897,1.4250015946641224,1.6304405204488444
